n,Share,decile,origin,child,sd,gender,mixity,order_gender,order_origin
197,0.0945297504798464,6,North Africa,56.2385786802031,27.3340808054661,Male,One native parent,0,2
200,0.0946969696969697,4,North Africa,40.705,25.6042155566492,Female,One native parent,1,2
202,0.0956439393939394,7,North Africa,53.460396039604,26.7795666486992,Female,One native parent,1,2
205,0.0831305758313058,3,North Africa,46.2048780487805,30.5854152031131,Male,No native parent,0,2
206,0.198649951783992,3,South Europe,47.5339805825243,28.6103564854409,Female,No native parent,1,3
215,0.0913727156821079,3,North Africa,39.8697674418605,30.6880866324477,Female,No native parent,1,2
217,0.185153583617747,2,South Europe,55.889400921659,27.5113903702159,Male,No native parent,0,3
219,0.105086372360845,7,North Africa,59.4840182648402,29.4092207708448,Male,One native parent,0,2
220,0.104166666666667,6,North Africa,44.3681818181818,26.6664820717978,Female,One native parent,1,2
221,0.211888782358581,10,Other,68.3800904977376,32.25453262004,Male,One native parent,0,4
222,0.207476635514019,10,Other,57.4369369369369,32.5582399935895,Female,One native parent,1,4
233,0.198805460750853,3,South Europe,55.3004291845494,28.3674298695038,Male,No native parent,0,3
235,0.112763915547025,8,North Africa,59.6765957446809,29.4144726629041,Male,One native parent,0,2
256,0.121212121212121,8,North Africa,49.49609375,26.933323342098,Female,One native parent,1,2
259,0.282135076252723,1,Other,38.1737451737452,28.187438888858,Female,No native parent,1,4
260,0.124760076775432,9,North Africa,60.0615384615385,30.4195257975457,Male,One native parent,0,2
